Appearances,Blocked shots,Assists,Passes per match,Big chances created,Crosses,Offsides,Hit woodwork,Shots,Shots on target,Shooting accuracy %,Big chances missed,Position_Defender,Position_Forward,Position_Goalkeeper,Position_Midfielder,Assists per Appearance,HighScorer
38,38.0,8,47.42,11.0,110.0,5.0,5.0,95.0,29.0,31.0,7.0,0,0,0,1,0.21052631578947367,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
22,2.0,2,9.36,1.0,28.0,3.0,0.0,11.0,4.0,36.0,0.0,0,1,0,0,0.09090909090909091,False
33,6.0,1,62.45,3.0,33.0,1.0,0.0,15.0,4.0,27.0,1.0,0,0,0,1,0.030303030303030304,False
5,0.0,0,25.4,0.0,1.0,0.0,0.0,,,,,1,0,0,0,0.0,False
32,3.0,0,27.56,0.0,2.0,3.0,0.0,,,,,1,0,0,0,0.0,False
17,,0,19.76,0.0,,,0.0,,,,,0,0,1,0,0.0,False
21,0.0,1,24.19,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.047619047619047616,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0.0,False
36,5.0,5,46.92,9.0,109.0,1.0,1.0,,,,,1,0,0,0,0.1388888888888889,False
4,0.0,0,3.5,0.0,1.0,0.0,0.0,,,,,1,0,0,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0.0,False
5,0.0,0,19.4,0.0,0.0,0.0,0.0,3.0,2.0,67.0,0.0,0,0,0,1,0.0,False
29,16.0,3,17.79,3.0,1.0,17.0,1.0,61.0,20.0,33.0,9.0,0,1,0,0,0.10344827586206896,False
31,11.0,0,14.74,1.0,22.0,10.0,1.0,35.0,11.0,31.0,7.0,0,1,0,0,0.0,False
9,1.0,2,9.56,1.0,18.0,0.0,0.0,8.0,4.0,50.0,1.0,0,1,0,0,0.2222222222222222,False
32,3.0,3,35.03,6.0,146.0,0.0,0.0,,,,,1,0,0,0,0.09375,False
12,0.0,0,28.08,1.0,6.0,0.0,1.0,4.0,2.0,50.0,0.0,0,0,0,1,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
0,,0,0.0,0.0,,,0.0,,,,,0,0,1,0,0.0,False
35,2.0,1,57.97,2.0,125.0,0.0,0.0,,,,,1,0,0,0,0.02857142857142857,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,False
1,1.0,0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,False
2,,0,19.5,0.0,,,0.0,,,,,0,0,1,0,0.0,False
27,7.0,1,26.96,2.0,32.0,3.0,0.0,36.0,15.0,42.0,1.0,0,1,0,0,0.037037037037037035,False
26,13.0,3,19.46,7.0,138.0,17.0,1.0,57.0,26.0,46.0,4.0,0,1,0,0,0.11538461538461539,False
26,20.0,3,15.69,3.0,1.0,7.0,1.0,60.0,17.0,28.0,4.0,0,1,0,0,0.11538461538461539,False
26,8.0,2,21.15,3.0,29.0,2.0,0.0,48.0,18.0,38.0,3.0,0,1,0,0,0.07692307692307693,False
10,0.0,1,35.3,2.0,27.0,0.0,0.0,,,,,1,0,0,0,0.1,False
32,,0,23.22,0.0,,,0.0,,,,,0,0,1,0,0.0,False
4,1.0,0,27.0,0.0,14.0,0.0,0.0,,,,,1,0,0,0,0.0,False
36,12.0,2,31.61,7.0,243.0,4.0,2.0,53.0,19.0,36.0,0.0,0,0,0,1,0.05555555555555555,False
3,0.0,0,41.33,1.0,6.0,0.0,0.0,1.0,1.0,100.0,0.0,0,0,0,1,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
24,0.0,0,32.75,0.0,2.0,0.0,0.0,,,,,1,0,0,0,0.0,False
25,2.0,0,40.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,1,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
22,3.0,3,28.23,2.0,103.0,1.0,0.0,17.0,4.0,24.0,0.0,0,0,0,1,0.13636363636363635,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0.0,False
10,,0,24.1,0.0,,,0.0,,,,,0,0,1,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
31,,0,28.48,0.0,,,0.0,,,,,0,0,1,0,0.0,False
4,0.0,0,23.75,0.0,10.0,2.0,0.0,,,,,1,0,0,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
4,,0,21.25,0.0,,,0.0,,,,,0,0,1,0,0.0,False
33,20.0,1,38.45,2.0,143.0,0.0,2.0,67.0,21.0,31.0,3.0,0,0,0,1,0.030303030303030304,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
23,1.0,1,33.61,0.0,0.0,1.0,0.0,,,,,1,0,0,0,0.043478260869565216,False
30,7.0,0,37.6,1.0,16.0,0.0,0.0,15.0,2.0,13.0,0.0,0,0,0,1,0.0,False
19,2.0,2,18.0,4.0,11.0,3.0,0.0,19.0,7.0,37.0,2.0,0,1,0,0,0.10526315789473684,False
30,8.0,0,59.77,6.0,9.0,5.0,1.0,30.0,13.0,43.0,0.0,0,0,0,1,0.0,False
1,0.0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,False
33,11.0,1,46.79,1.0,34.0,2.0,0.0,35.0,8.0,23.0,5.0,0,0,0,1,0.030303030303030304,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
28,6.0,0,56.0,1.0,6.0,0.0,1.0,7.0,1.0,14.0,0.0,0,0,0,1,0.0,False
19,0.0,0,17.79,0.0,12.0,0.0,0.0,5.0,3.0,60.0,0.0,0,0,0,1,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0.0,False
35,2.0,0,29.49,0.0,3.0,0.0,0.0,,,,,1,0,0,0,0.0,False
31,4.0,0,29.97,1.0,7.0,0.0,0.0,11.0,1.0,9.0,1.0,0,0,0,1,0.0,False
6,1.0,0,11.33,0.0,1.0,0.0,0.0,,,,,1,0,0,0,0.0,False
34,,0,25.09,0.0,,,0.0,,,,,0,0,1,0,0.0,False
24,2.0,2,32.75,4.0,115.0,2.0,0.0,,,,,1,0,0,0,0.08333333333333333,False
1,0.0,1,12.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,False
29,6.0,2,13.03,4.0,15.0,4.0,0.0,25.0,7.0,28.0,3.0,0,0,0,1,0.06896551724137931,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
10,0.0,0,9.3,0.0,1.0,4.0,0.0,2.0,1.0,50.0,1.0,0,1,0,0,0.0,False
12,1.0,0,16.25,0.0,1.0,0.0,0.0,,,,,1,0,0,0,0.0,False
