Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Season
Ragnar Klavan ,Defender,19,8.0,15.0,14.0,71.0,0.0,0.0,15.0,82.0,38.0,0.0,96.0,67.0,55.0,4.0,39.0,40.0,0.0,0.0,0,1198,63.05,0.0,1.0,0.0,1.0,52.0,0,0,7,0.0,1,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Josh Knight ,Defender,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Anthony Knockaert ,Midfielder,33,,,39.0,67.0,,13.0,23.0,13.0,6.0,,171.0,139.0,140.0,62.0,16.0,19.0,,0.0,1,984,29.82,3.0,98.0,18.0,4.0,43.0,4,1,22,8.0,3,0.0,1.0,2.0,2.0,0.09,0.0,0.0,46.0,12.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Aleksandar Kolarov ,Defender,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Sead Kolasinac ,Defender,27,9.0,30.0,49.0,76.0,0.0,7.0,26.0,53.0,27.0,0.0,134.0,118.0,107.0,12.0,47.0,32.0,0.0,0.0,4,1268,46.96,6.0,42.0,14.0,0.0,25.0,3,0,32,1.0,2,0.0,0.0,2.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Vincent Kompany ,Defender,17,6.0,12.0,20.0,55.0,1.0,2.0,16.0,71.0,39.0,0.0,91.0,66.0,38.0,3.0,42.0,12.0,0.0,0.0,1,1429,84.06,1.0,0.0,0.0,1.0,84.0,6,0,18,0.0,1,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Terence Kongolo ,Defender,13,2.0,14.0,33.0,61.0,0.0,0.0,32.0,64.0,31.0,0.0,50.0,77.0,34.0,7.0,28.0,13.0,0.0,0.0,0,311,23.92,0.0,10.0,20.0,0.0,12.0,0,0,5,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Laurent Koscielny ,Defender,25,8.0,32.0,43.0,49.0,0.0,2.0,54.0,134.0,79.0,0.0,160.0,148.0,92.0,2.0,80.0,61.0,0.0,1.0,0,1745,69.8,0.0,5.0,20.0,2.0,111.0,4,0,14,2.0,2,1.0,1.0,0.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Cheikhou Kouyaté ,Midfielder,33,,,71.0,69.0,,7.0,32.0,49.0,37.0,,188.0,251.0,234.0,20.0,123.0,113.0,,0.0,3,955,28.94,0.0,17.0,24.0,5.0,15.0,5,0,45,6.0,2,1.0,0.0,0.0,1.0,0.06,0.0,0.0,23.0,5.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Tim Krul ,Goalkeeper,0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,0.0,0,0,0,,0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Grzegorz Krychowiak ,Midfielder,27,,,40.0,63.0,,3.0,45.0,23.0,13.0,,125.0,122.0,109.0,19.0,26.0,15.0,,0.0,2,813,30.11,4.0,18.0,22.0,6.0,48.0,2,0,31,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Alexandre Lacazette ,Forward,32,,,24.0,,,17.0,7.0,4.0,1.0,,,,,,,,,,4,722,22.56,5.0,16.0,,,,1,0,28,23.0,14,2.0,10.0,2.0,2.0,0.44,2.0,0.0,68.0,35.0,51.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Adam Lallana ,Midfielder,12,,,3.0,33.0,,6.0,1.0,1.0,0.0,,15.0,17.0,27.0,6.0,3.0,4.0,,0.0,0,220,18.33,0.0,8.0,25.0,0.0,4.0,1,0,4,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Erik Lamela ,Midfielder,25,,,23.0,57.0,,6.0,7.0,4.0,4.0,,49.0,68.0,86.0,23.0,6.0,14.0,,0.0,2,446,17.84,4.0,25.0,32.0,5.0,12.0,4,0,24,3.0,2,0.0,0.0,2.0,1.0,0.08,0.0,0.0,20.0,6.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Manuel Lanzini ,Midfielder,27,,,20.0,55.0,,12.0,30.0,5.0,1.0,,165.0,123.0,135.0,65.0,3.0,10.0,,1.0,6,1214,44.96,6.0,82.0,20.0,6.0,31.0,4,0,9,3.0,5,0.0,4.0,1.0,0.0,0.19,0.0,0.0,44.0,18.0,41.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Aymeric Laporte ,Defender,9,4.0,5.0,8.0,88.0,0.0,3.0,11.0,26.0,16.0,0.0,90.0,39.0,23.0,3.0,24.0,9.0,0.0,0.0,0,811,90.11,0.0,2.0,50.0,1.0,42.0,1,0,10,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Jamaal Lascelles ,Defender,33,9.0,31.0,31.0,61.0,2.0,0.0,28.0,230.0,140.0,1.0,179.0,176.0,88.0,5.0,128.0,60.0,0.0,0.0,0,1184,35.88,0.0,2.0,0.0,0.0,79.0,5,0,16,0.0,3,3.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Joel Latibeaudiere ,Defender,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Shayne Lavery ,Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Tom Lawrence ,Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Achraf Lazaar ,Midfielder,0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Lee Chung-Yong ,Midfielder,7,,,2.0,0.0,,0.0,2.0,0.0,0.0,,7.0,8.0,9.0,2.0,2.0,4.0,,1.0,0,67,9.57,0.0,7.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Adam Legzdins ,Goalkeeper,0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,0.0,0,0,0,,0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Florian Lejeune ,Defender,24,5.0,32.0,33.0,61.0,1.0,4.0,46.0,146.0,81.0,1.0,128.0,141.0,89.0,12.0,83.0,51.0,0.0,0.0,2,1071,44.63,2.0,4.0,0.0,2.0,108.0,3,0,17,2.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Jonathan Leko ,Midfielder,0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Mario Lemina ,Midfielder,25,,,55.0,73.0,,5.0,36.0,33.0,21.0,,139.0,151.0,96.0,55.0,25.0,13.0,,1.0,1,971,38.84,1.0,10.0,10.0,6.0,41.0,2,0,28,2.0,1,0.0,1.0,0.0,1.0,0.04,0.0,0.0,23.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Aaron Lennon ,Midfielder,29,,,37.0,65.0,,7.0,19.0,16.0,3.0,,82.0,81.0,127.0,15.0,12.0,19.0,,0.0,2,468,16.14,1.0,38.0,18.0,0.0,8.0,2,0,21,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,5.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Filip Lesniak ,Midfielder,0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Harry Lewis ,Goalkeeper,0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,0.0,0,0,0,,0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Lewis Cook ,Midfielder,29,,,67.0,52.0,,8.0,35.0,21.0,8.0,,198.0,151.0,158.0,50.0,14.0,27.0,,1.0,2,1228,42.34,0.0,29.0,31.0,5.0,107.0,5,0,33,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Anders Lindegaard ,Goalkeeper,0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,0.0,0,0,0,,0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Victor Lindelöf ,Defender,17,5.0,14.0,17.0,65.0,0.0,1.0,13.0,64.0,36.0,0.0,94.0,51.0,41.0,4.0,22.0,25.0,0.0,1.0,0,751,44.18,1.0,1.0,0.0,0.0,30.0,1,0,10,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Jesse Lingard ,Midfielder,33,,,30.0,70.0,,15.0,9.0,10.0,0.0,,84.0,99.0,124.0,28.0,5.0,26.0,,0.0,5,932,28.24,4.0,46.0,17.0,8.0,19.0,2,0,34,4.0,8,1.0,7.0,0.0,3.0,0.24,0.0,0.0,56.0,23.0,41.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Jake Livermore ,Midfielder,34,,,72.0,57.0,,4.0,26.0,28.0,10.0,,173.0,128.0,152.0,19.0,23.0,37.0,,0.0,2,1103,32.44,2.0,16.0,19.0,8.0,65.0,5,0,42,1.0,2,0.0,2.0,0.0,1.0,0.06,0.0,0.0,15.0,4.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Fernando Llorente ,Forward,16,,,6.0,,,2.0,0.0,6.0,5.0,,,,,,,,,,0,88,5.5,0.0,0.0,,,,1,0,4,2.0,1,1.0,0.0,0.0,0.0,0.06,0.0,0.0,6.0,2.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Hugo Lloris ,Goalkeeper,36,15.0,35.0,,,,,,,,,,,,,,,0.0,5.0,0,996,27.67,0.0,,,,217.0,1,0,1,,0,,,,0.0,,,,,,,,86.0,0.0,20.0,17.0,9.0,37.0,169.0,227.0,2017-18
Jürgen Locadia ,Forward,6,,,1.0,,,2.0,1.0,0.0,0.0,,,,,,,,,,1,51,8.5,0.0,3.0,,,,0,0,2,2.0,1,0.0,0.0,1.0,0.0,0.17,0.0,0.0,6.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Ruben Loftus-Cheek ,Midfielder,24,,,21.0,71.0,,13.0,22.0,26.0,16.0,,130.0,188.0,180.0,73.0,32.0,55.0,,0.0,3,723,30.13,5.0,12.0,25.0,1.0,24.0,1,0,17,3.0,2,0.0,2.0,0.0,1.0,0.08,0.0,0.0,32.0,7.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Jason Lokilo ,Midfielder,0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Joe Lolley ,Forward,6,,,2.0,,,0.0,3.0,1.0,0.0,,,,,,,,,,0,65,10.83,0.0,8.0,,,,1,0,3,0.0,1,0.0,0.0,1.0,0.0,0.17,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Kevin Long ,Defender,16,4.0,21.0,32.0,72.0,0.0,5.0,19.0,127.0,76.0,0.0,68.0,131.0,84.0,0.0,80.0,58.0,1.0,1.0,2,541,33.81,3.0,2.0,0.0,0.0,61.0,1,0,15,1.0,1,1.0,0.0,0.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Ademola Lookman ,Forward,7,,,1.0,,,2.0,1.0,2.0,0.0,,,,,,,,,,1,45,6.43,1.0,2.0,,,,0,0,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Jonas Lössl ,Goalkeeper,38,10.0,58.0,,,,,,,,,,,,,,,1.0,3.0,1,1284,33.79,0.0,,,,420.0,1,0,0,,0,,,,0.0,,,,,,,,103.0,2.0,24.0,26.0,5.0,25.0,103.0,304.0,2017-18
Dejan Lovren ,Defender,29,10.0,24.0,26.0,65.0,0.0,4.0,38.0,142.0,86.0,0.0,107.0,136.0,85.0,0.0,104.0,60.0,0.0,1.0,1,1803,62.17,1.0,4.0,50.0,0.0,91.0,4,0,15,1.0,2,2.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Matthew Lowton ,Defender,26,8.0,26.0,55.0,62.0,0.0,1.0,39.0,112.0,55.0,1.0,111.0,115.0,95.0,11.0,34.0,29.0,0.0,0.0,3,823,31.65,3.0,71.0,21.0,1.0,72.0,1,0,19,1.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Kazenga LuaLua ,Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Lucas Leiva ,Midfielder,0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Lucas Moura ,Forward,6,,,4.0,,,1.0,2.0,2.0,2.0,,,,,,,,,,1,113,18.83,0.0,1.0,,,,0,0,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Romelu Lukaku ,Forward,34,,,7.0,,,18.0,3.0,21.0,15.0,,,,,,,,,,7,721,21.21,9.0,36.0,,,,4,0,31,18.0,16,3.0,2.0,11.0,1.0,0.47,0.0,0.0,86.0,43.0,50.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Dodi Lukébakio ,Forward,1,,,1.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,6,6.0,0.0,2.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Levi Lumeka ,Forward,1,,,1.0,,,1.0,1.0,0.0,0.0,,,,,,,,,,0,7,7.0,0.0,4.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Matt Macey ,Goalkeeper,0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,0.0,0,0,0,,0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Niki Mäenpää ,Goalkeeper,0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,0.0,0,0,0,,0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Pablo Maffeo ,Defender,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Harry Maguire ,Defender,38,9.0,60.0,63.0,73.0,1.0,7.0,48.0,176.0,115.0,0.0,269.0,263.0,136.0,51.0,119.0,63.0,0.0,0.0,4,1740,45.79,5.0,15.0,13.0,2.0,173.0,7,0,34,4.0,2,1.0,1.0,0.0,2.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Connor Mahoney ,Midfielder,0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Riyad Mahrez ,Forward,36,,,39.0,,,19.0,18.0,9.0,5.0,,,,,,,,,,10,1276,35.44,12.0,158.0,,,,2,0,23,10.0,12,1.0,1.0,10.0,0.0,0.33,0.0,1.0,73.0,36.0,49.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Ainsley Maitland-Niles ,Midfielder,15,,,25.0,68.0,,1.0,12.0,22.0,8.0,,73.0,56.0,59.0,20.0,6.0,14.0,,0.0,0,536,35.73,1.0,20.0,25.0,0.0,22.0,1,0,10,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Moses Makasi ,Midfielder,0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Donyell Malen ,Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Scott Malone ,Defender,22,2.0,23.0,39.0,74.0,0.0,2.0,26.0,38.0,13.0,0.0,89.0,76.0,65.0,15.0,14.0,13.0,0.0,2.0,1,493,22.41,0.0,46.0,7.0,0.0,41.0,3,0,19,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Steve Mandanda ,Goalkeeper,0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,0.0,0,0,0,,0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Sadio Mané ,Forward,29,,,28.0,,,13.0,9.0,7.0,6.0,,,,,,,,,,7,962,33.17,9.0,32.0,,,,3,1,24,12.0,10,0.0,7.0,3.0,3.0,0.34,0.0,0.0,70.0,26.0,37.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Eliaquim Mangala ,Defender,11,2.0,7.0,7.0,57.0,0.0,1.0,3.0,28.0,12.0,0.0,44.0,25.0,26.0,4.0,14.0,14.0,0.0,1.0,0,413,37.55,0.0,0.0,0.0,1.0,14.0,0,0,3,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Javier Manquillo ,Defender,21,4.0,31.0,36.0,61.0,0.0,0.0,18.0,49.0,23.0,0.0,70.0,82.0,81.0,12.0,22.0,19.0,0.0,0.0,1,540,25.71,3.0,30.0,20.0,0.0,24.0,2,0,24,2.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Elvis Manu ,Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Solly March ,Midfielder,36,,,54.0,76.0,,10.0,13.0,29.0,13.0,,135.0,143.0,177.0,48.0,19.0,42.0,,0.0,1,637,17.69,4.0,102.0,16.0,1.0,36.0,3,0,29,7.0,1,1.0,0.0,0.0,2.0,0.03,0.0,0.0,28.0,9.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Adrian Mariappa ,Defender,28,6.0,43.0,45.0,58.0,1.0,2.0,45.0,129.0,79.0,1.0,111.0,149.0,130.0,2.0,90.0,75.0,0.0,2.0,0,961,34.32,0.0,4.0,0.0,0.0,54.0,4,0,32,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Adnan Maric ,Midfielder,0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Lazar Markovic ,Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Dean Marney ,Midfielder,0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Anthony Martial ,Forward,30,,,15.0,,,18.0,3.0,6.0,4.0,,,,,,,,,,5,731,24.37,9.0,48.0,,,,1,0,17,8.0,9,1.0,7.0,1.0,0.0,0.3,1.0,0.0,49.0,16.0,33.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Emiliano Martínez ,Goalkeeper,0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,0.0,0,0,0,,0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Bruno Martins Indi ,Defender,17,1.0,27.0,21.0,57.0,1.0,1.0,21.0,76.0,39.0,0.0,55.0,52.0,42.0,0.0,25.0,21.0,0.0,1.0,0,351,20.65,0.0,4.0,75.0,0.0,27.0,3,0,12,1.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Brandon Mason ,Defender,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Massadio Haidara ,Defender,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Ntumba Massanka ,Midfielder,0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
