Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Season
Toby Alderweireld ,Defender,38,13.0,35.0,45.0,71.0,0.0,8.0,66.0,285.0,125.0,1.0,161.0,116.0,74.0,7.0,59.0,39.0,0.0,0.0,2,2076,54.63,1.0,16.0,13.0,2.0,238.0,3,0,9,1.0,4,3.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Aleix García ,Midfielder,0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Trent Alexander-Arnold ,Defender,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Alexandre Pato ,Forward,2,,,3.0,,,0.0,0.0,1.0,1.0,,,,,,,,,,0,27,13.5,0.0,0.0,,,,0,0,2,2.0,1,0.0,1.0,0.0,0.0,0.5,1.0,0.0,4.0,2.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Allan ,Midfielder,0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Joe Allen ,Midfielder,19,,,28.0,68.0,,3.0,14.0,8.0,3.0,,73.0,59.0,56.0,7.0,3.0,11.0,,0.0,1,410,21.58,1.0,5.0,40.0,2.0,19.0,0,0,14,0.0,2,0.0,2.0,0.0,0.0,0.11,0.0,0.0,12.0,4.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Dele Alli ,Midfielder,33,,,71.0,75.0,,27.0,61.0,32.0,18.0,,175.0,203.0,272.0,30.0,37.0,44.0,,0.0,9,1083,32.82,11.0,19.0,21.0,18.0,26.0,7,0,50,6.0,10,1.0,9.0,0.0,3.0,0.3,0.0,0.0,74.0,28.0,38.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Ryan Allsop ,Goalkeeper,1,0.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0,8,8.0,0.0,,,,1.0,0,0,0,,0,,,,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2015-16
Morgan Amalfitano ,Midfielder,0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Daniel Amartey ,Defender,5,0.0,2.0,1.0,100.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,4.0,6.0,1.0,2.0,3.0,0.0,0.0,0,66,13.2,0.0,0.0,0.0,0.0,3.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Jordan Amavi ,Defender,10,2.0,13.0,36.0,83.0,0.0,3.0,37.0,32.0,15.0,0.0,64.0,92.0,86.0,25.0,20.0,17.0,0.0,1.0,2,368,36.8,1.0,40.0,13.0,0.0,19.0,2,0,18,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Marco Amelia ,Goalkeeper,0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,0.0,0,0,0,,0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Sammy Ameobi ,Midfielder,0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Andreas Pereira ,Midfielder,4,,,1.0,100.0,,0.0,1.0,0.0,0.0,,7.0,6.0,12.0,4.0,0.0,2.0,,0.0,0,49,12.25,0.0,11.0,36.0,0.0,0.0,2,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Tony Andreu ,Midfielder,0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Angeliño ,Defender,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Gabriele Angella ,Defender,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Victor Anichebe ,Forward,10,,,2.0,,,6.0,2.0,8.0,6.0,,,,,,,,,,0,108,10.8,1.0,2.0,,,,0,0,2,4.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,4.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Vurnon Anita ,Midfielder,28,,,74.0,72.0,,2.0,56.0,40.0,15.0,,160.0,110.0,102.0,9.0,16.0,21.0,,0.0,3,990,35.36,0.0,28.0,18.0,2.0,53.0,6,0,29,0.0,1,0.0,0.0,1.0,0.0,0.04,0.0,0.0,8.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Michail Antonio ,Forward,26,,,37.0,70.0,,11.0,57.0,45.0,22.0,,129.0,157.0,151.0,47.0,39.0,34.0,,1.0,3,523,20.12,4.0,68.0,24.0,1.0,31.0,3,0,27,11.0,8,6.0,1.0,1.0,2.0,0.31,0.0,0.0,54.0,20.0,37.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Ikechi Anya ,Midfielder,28,,,16.0,75.0,,5.0,45.0,33.0,12.0,,102.0,61.0,52.0,14.0,14.0,21.0,,0.0,1,660,23.57,2.0,71.0,10.0,0.0,28.0,0,0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Giedrius Arlauskis ,Goalkeeper,1,0.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0,5,5.0,0.0,,,,2.0,0,0,0,,0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2015-16
Adam Armstrong ,Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Marko Arnautovic ,Forward,34,,,53.0,,,12.0,28.0,14.0,2.0,,,,,,,,,,6,1081,31.79,11.0,56.0,,,,2,0,49,32.0,11,0.0,9.0,1.0,4.0,0.32,3.0,0.0,70.0,22.0,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Harry Arter ,Midfielder,21,,,57.0,82.0,,11.0,25.0,9.0,2.0,,118.0,103.0,109.0,22.0,8.0,5.0,,0.0,0,1034,49.24,1.0,7.0,57.0,5.0,80.0,7,0,23,0.0,1,0.0,1.0,0.0,0.0,0.05,0.0,0.0,36.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Mikel Arteta ,Midfielder,9,,,8.0,100.0,,0.0,7.0,8.0,4.0,,17.0,20.0,15.0,0.0,8.0,4.0,,0.0,0,132,14.67,1.0,0.0,0.0,1.0,7.0,1,0,8,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Christian Atsu ,Midfielder,0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Charlie Austin ,Forward,7,,,5.0,,,3.0,0.0,7.0,2.0,,,,,,,,,,0,50,7.14,0.0,3.0,,,,0,0,3,2.0,1,1.0,0.0,0.0,0.0,0.14,0.0,0.0,8.0,2.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Jordan Ayew ,Forward,30,,,40.0,,,21.0,23.0,8.0,5.0,,,,,,,,,,0,800,26.67,4.0,43.0,,,,6,1,48,10.0,7,1.0,6.0,0.0,2.0,0.23,1.0,0.0,59.0,21.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
César Azpilicueta ,Defender,37,8.0,50.0,114.0,75.0,0.0,2.0,86.0,102.0,32.0,0.0,210.0,182.0,124.0,6.0,46.0,39.0,0.0,0.0,3,1798,48.59,3.0,57.0,19.0,1.0,103.0,7,0,39,1.0,2,0.0,2.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Daniel Bachmann ,Goalkeeper,0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,0.0,0,0,0,,0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Leandro Bacuna ,Midfielder,31,,,48.0,90.0,,7.0,56.0,53.0,16.0,,157.0,110.0,124.0,25.0,26.0,24.0,,2.0,0,1133,36.55,2.0,92.0,23.0,2.0,93.0,8,0,36,2.0,1,0.0,1.0,0.0,1.0,0.03,0.0,0.0,32.0,9.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Leighton Baines ,Defender,18,4.0,26.0,34.0,59.0,0.0,3.0,29.0,42.0,19.0,0.0,62.0,68.0,54.0,4.0,9.0,17.0,0.0,0.0,1,756,42.0,2.0,103.0,24.0,0.0,57.0,0,0,6,4.0,2,0.0,0.0,2.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Nathan Baker ,Defender,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Dominic Ball ,Defender,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Mario Balotelli ,Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Patrick Bamford ,Forward,13,,,5.0,,,2.0,2.0,3.0,1.0,,,,,,,,,,0,90,6.92,0.0,4.0,,,,0,0,8,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,4.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Barry Bannan ,Midfielder,0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Phil Bardsley ,Defender,11,0.0,18.0,31.0,81.0,1.0,2.0,18.0,32.0,7.0,0.0,28.0,61.0,29.0,3.0,12.0,3.0,0.0,0.0,1,300,27.27,1.0,14.0,14.0,1.0,17.0,1,0,12,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Brandon Barker ,Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Ross Barkley ,Midfielder,38,,,34.0,65.0,,38.0,17.0,18.0,15.0,,186.0,250.0,228.0,116.0,29.0,31.0,,0.0,8,1802,47.42,11.0,110.0,22.0,19.0,103.0,4,0,29,5.0,8,0.0,7.0,1.0,5.0,0.21,2.0,0.0,95.0,29.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
